"","x"
"45","A Dashboard to Monitor Self-Regulated Learning Behaviours in Online Professional Development"
"46","Visualizations and Dashboards for Learning Analytics: A Systematic Literature Review"
"47","Development of a Learning Dashboard Prototype Supporting Meta-cognition for Students"
"48","Learning Analytics Dashboard for Problem-based Learning"
"49","Web Analytics as Extension for a Learning Analytics Dashboard of a Massive Open Online Platform"
"50","Student Perception of a Learner Dashboard in MOOCs to Encourage Self-Regulated Learning"
"51","Differentiated Teaching With Adaptive Learning Systems and Teacher Dashboards: The Teacher Still Matters Most"
"52","The influence of task-value scaffolding in a predictive learning analytics dashboard on learners' statistics anxiety, motivation, and performance"
"53","Human Learning for Molecular Simulations: The Collective Variables Dashboard in VMD"
"54","Teachers’ Perspectives on the Promises, Needs and Challenges of Learning Analytics Dashboards: Insights from Institutions Offering Blended and Distance Learning"
"55","Team interactions with learning analytics dashboards"
"56","GATHERING RESEARCHERS' REQUIREMENTS TO DEVELOP A LEARNING TECHNOLOGIES DASHBOARD"
"57","Integrating a Learning Analytics Dashboard in an Online Educational Game"
"58","Learning Analytics Dashboard for Teaching with Twitter"
"59","The Role of Self-Regulated Learning in the Design, Implementation, and Evaluation of Learning Analytics Dashboards"
"60","Developing Distance Learning Monitoring Dashboard with Google Sheet: An Approach for Flexible and Low-Price Solution in Pandemic Era"
"61","Real-Time Learning Analytics Dashboard for Students in Online Classes"
"62","Using A Digital Dashboard For Learning To Blend Interactive, Web Based Courseware Into An Instructor Led Statics Course"
"63","The Design of a Learning Analytics Dashboard: EduOpen Mooc platform redefinition procedures"
"64","Learning Analytics in the Flipped Classroom – Learning Dashboards from the Students' Perspective"
"65","Use of Learning Analytics Interactive Dashboards in Serious Games"
"66","The use of learning dashboards to support complex in-class pedagogical scenarios in medical training: how do they influence students’ cognitive engagement?"
"67","Learning Analytics Data Flow and Visualizing for Ubiquitous Learning Logs in LMS and Learning Analytics Dashboard"
"68","Block-based learning analytics repository and dashboard"
"69","FACTORS OF THE USE OF LEARNING ANALYTICS DASHBOARD THAT AFFECT METACOGNITION"
"70","Evaluating a Learning Analytics Dashboard to Visualize Student Self-Reports of Time-on-task"
"71","Learning Analytics Dashboard Research Has Neglected Diversity, Equity and Inclusion"
"72","TaBAT: Design and Experimentation of a Learning Analysis Dashboard for Teachers and Learners"
"73","Responsive Dashboard as a Component of Learning Analytics System for Evaluation in Emergency Remote Teaching Situations"
"74","Descriptive Analytics Dashboard for an Inclusive Learning Environment"
"75","Development of an electronic learning progression dashboard to monitor student clinical experiences"
"76","Visualization of Learning for Students: A Dashboard for Study Progress – Development, Design Details, Implementation, and User Feedback"
"77","Discovering Generative Uncertainty in Learning Analytics Dashboards"
"78","User-Centered Design for a Student-Facing Dashboard Grounded in Learning Theory"
"79","Designing dashboards to support learners' self-regulated learning"
"80","User Centered Approach for Learning Analytics Dashboard Generation"
"81","EP-1913 Distributed rapid learning made easy: a userfriendly dashboard for model development and execution"
"82","Correction to: Factors that affect the success of learning analytics dashboards"
"83","LAView: Learning Analytics Dashboard Towards Evidence-based Education"
"84","Do Students Really Want to Know? Investigating the Relationship between Learning Analytics Dashboards and Student Motivation"
"85","The Effects of Dashboard Types on Students’ Participation and Interaction on Online Group Discussion Activities based on Learning Analysis"
"86","Capitalizing on Learning Analytics Dashboard for Maximizing Student Outcomes"
"87","Development and Evaluation of Learning Analytics Dashboards to Support Online Discussion Activities."
"88","Towards a Learning Analytics Dashboard for Collaborative Conversational Agent Activities in MOOCs"
"89","Experimental Design of Learning Analysis Dashboards for Teachers and Learners"
"90","Learning and Gamification Dashboards: A Mixed-Method Study with Teachers"
"91","Development of Learning Analytics Dashboard based on Moodle Learning Management System"
"92","AstronomicAL: an interactive dashboard for visualisation, integration and classification of data with Active Learning"
"93","The Dashboard That Loved Me: Designing adaptive learning analytics for self-regulated learning"
"94","Learning Analytics Dashboards in Educational Games"
"95","Visualizations and Dashboards for Learning Analytics"
"96","Designing and Developing a Learning Analytics Dashboard to Support Self-Regulated Learning"
"97","The Current Landscape of Research and Practice on Visualizations and Dashboards for Learning Analytics"
"98","Student Engagement Awareness Dashboard for Asynchronous E-learning Environment"
"99","Implementing an electronic health record dashboard for safe anticoagulant management: learning from qualitative interviews with existing and potential users to develop an implementation process"
"100","Using Teacher Dashboards to Assess Group Collaboration in Problem-based Learning"
"101","CADA: a teacher-facing learning analytics dashboard to foster teachers’ awareness of students’ participation and discourse patterns in online discussions"
"102","Evaluating a learning analytics dashboard to detect dishonest behaviours: A case study in small private online courses with academic recognition"
"103","The Development of an Automatic Text Classifier Enhanced Dashboard in Supporting Teachers' Facilitation of Virtual Problem-Based Learning Activities"
"104","Adaptive or adapted to: Sequence and reflexive thematic analysis to understand learners' self‐regulated learning in an adaptive learning analytics dashboard"
"105","Usability Testing of an Interactive Dashboard for Surgical Quality Improvement in a Large Congenital Heart Center"
"106","The effect of interactive analytical dashboard features on situation awareness and task performance"
"107","Triangulum City Dashboard: An Interactive Data Analytic Platform for Visualizing Smart City Performance"
"108","An interactive dashboard to track themes, development maturity, and global equity in clinical artificial intelligence research"
"109","Modelling the interactive behaviour of users with a medication safety dashboard in a primary care setting"
"110","Understanding the utilisation of a novel interactive electronic medication safety dashboard in general practice: a mixed methods study"
"111","Challenges, Strategies and Adaptations on Interactive Dashboards"
"112","Story Analysis Using Natural Language Processing and Interactive Dashboards"
"113","Spatial Analysis, Interactive Visualisation and GIS-Based Dashboard for Monitoring Spatio-Temporal Changes of Hotspots of Bushfires over 100 Years in New South Wales, Australia"
"114","Innovative Instruction Using Field Surveys, Interactive Maps, Dashboards, and Infographics"
"115","Web-Based Dashboard for the Interactive Visualization and Analysis of National Risk-Standardized Mortality Rates of Sepsis in the US"
"116","Timely delivery of laboratory efficiency information, Part I: Developing an interactive turnaround time dashboard at a high-volume laboratory"
"117","Implementation of Business Intelligence for Sales Data Management Using Interactive Dashboard Visualization in XYZ Stores"
"118","An Interactive Dashboard Using a Virtual Assistant for Visualizing Smart Manufacturing"
"119","Pandemic Response in the Clinical Laboratory: The Utility of Interactive Dashboards"
"120","Supporting rural public health practice to address local-level social determinants of health across Northwest states: Development of an interactive visualization dashboard"
"121","Data visualisation of vehicle crash using interactive map and data dashboard"
"122","Towards a teacher dashboard design for interactive simulations"
"123","Interactive Sensor Dashboard for Smart Manufacturing"
"124","Making Evidence Actionable: Interactive Dashboards, Bayes, and Health Care Innovation"
"125","Prevalence of e-cigarette use (2016 to 2018) and cigarette smoking (2012 to 2019) among U.S. adults by state: An interactive data visualization dashboard"
"126","Dashboard-style interactive plots for RNA-seq analysis are R Markdown ready with Glimma 2.0"
"127","Design and evaluation of an interactive quality dashboard for national clinical audit data: a realist evaluation"
"128","Interactive dashboards with flexdashboard and Shiny"
"129","Project indicators visualization using an interactive dashboard"
"130","An Interactive Dashboard for Traveler Mobility Analysis."
"131","A Geo-Dashboard Concept for the Interactively Linked Visualization of Provenance and Data Quality for Geospatial Datasets"
"132","i2dash: Creation of Flexible, Interactive, and Web-based Dashboards for Visualization of Omics Data"
"133","An Interactive Dashboard for Visualizing the Provenance of Software Development Processes"
"134","1033-P: An Interactive Capacity Planning Dashboard for Algorithm-Enabled Telemedicine-Based Diabetes Care"
"135","Designing Multimodal Interactive Dashboard of Disaster Management Systems"
"136","Spatial decision support system for low-carbon sustainable cities development: An interactive storytelling dashboard for the city of Turin"
"137","An Interactive Multi-Task Learning Network for End-to-End Aspect-Based Sentiment Analysis"
"138","The role of gamified e-quizzes on student learning and engagement: An interactive gamification solution for a formative assessment system"
"139","The interactivity of video and collaboration for learning achievement, intrinsic motivation, cognitive load, and behavior patterns in a digital game-based learning environment"
"140","CNN Explainer: Learning Convolutional Neural Networks with Interactive Visualization"
"141","Immersive, interactive virtual field trips promote science learning"
"142","Quercetin conjugated with superparamagnetic iron oxide nanoparticles improves learning and memory better than free quercetin via interacting with proteins involved in LTP"
"143","Effects of social-interactive engagement on the dropout ratio in online learning: insights from MOOC"
"144","Social learning strategies regulate the wisdom and madness of interactive crowds"
"145","HG-DAgger: Interactive Imitation Learning with Human Experts"
"146","Receptive versus interactive video screens: A role for the brain's default mode network in learning from media"
"147","Learning an intrinsic garment space for interactive authoring of garment animation"
"148","Blended learning for postgraduates; an interactive experience"
"149","The role of teaching and using interactive methods in learning foreign languages"
"150","Interactivity, active collaborative learning, and learning performance: The moderating role of perceived fun by using personal response systems"
"151","From STEM to STEAM: Cracking the Code? How Creativity &amp; Motivation Interacts with Inquiry-based Learning"
"152","Seeking optimal confusion: a review on epistemic emotion management in interactive digital learning environments"
"153","An individualized intervention approach to improving university students’ learning performance and interactive behaviors in a blended learning environment"
"154","Dance Interactive Learning Systems"
"155","Online team‐based learning sessions as interactive methodologies during the pandemic"
"156","Students' satisfaction and continuance intention of the cloud-based e-learning system: roles of interactivity and course quality factors"
"157","The role of interactive learning in innovation capability building in multinational subsidiaries: A micro-level study of biotechnology in Brazil"
"158","Integrating interactive learner‐immersed video‐based virtual reality into learning and teaching of physical geography"
"159","Learning interaction dynamics with an interactive LSTM for conversational sentiment analysis"
"160","Interactive Multi-Label CNN Learning With Partial Labels"
"161","An interactive problem-posing guiding approach to bridging and facilitating pre- and in-class learning for flipped classrooms"
"162","Wasserstein Generative Learning with Kinematic Constraints for Probabilistic Interactive Driving Behavior Prediction"
"163","Sample-efficient learning of interacting quantum systems"
"164","Internet Based Interactive Construction Management Learning System"
"165","How do innovation, internationalization, and organizational learning interact and co-evolve in small firms? a complex systems approach"
"166","Online learning for effort reduction in interactive neural machine translation"
"167","Effects of a collective problem-solving promotion-based flipped classroom on students’ learning performances and interactive patterns"
"168","Development of Augmented Reality-Based Interactive Multimedia to Improve Critical Thinking Skills in Science Learning"
"169","A study of how immersion and interactivity drive VR learning"
"170","The Impact of Dose and Dose Frequency on Word Learning by Kindergarten Children With Developmental Language Disorder During Interactive Book Reading"
"171","Exploring Effects of Interactivity on Learning with Interactive Storytelling in Immersive Virtual Reality"
"172","Interactive learning — The key to innovation in non-R&amp;D-intensive SMEs? A cluster analysis approach"
"173","An Interactive Framework for Learning Continuous Actions Policies Based on Corrective Feedback"
"174","Enhancing Student Motivation with use of Augmented Reality for Interactive Learning in Engineering Education"
"175","Interactive 3D Visualization of Chemical Structure Diagrams Embedded in Text to Aid Spatial Learning Process of Students"
"176","Continuous Adaptation for Interactive Object Segmentation by Learning from Corrections"
"177","DEVELOPING INTERACTIVE LEARNING MEDIA FOR SCHOOL LEVEL MATHEMATICS THROUGH OPEN-ENDED APPROACH AIDED BY VISUAL BASIC APPLICATION FOR EXCEL"
"178","Concepts before coding: non-programming interactives to advance learning of introductory programming concepts in middle school"
"179","Use of virtual games for interactive learning in a pharmacy curriculum"
"180","Interactivity: A Potential Determinant of Learning by Preparing to Teach and Teaching"
"181","Inclusivity, participation and collaboration: Learning in interactive groups"
"182","Solver-in-the-Loop: Learning from Differentiable Physics to Interact with Iterative PDE-Solvers"
"183","Physics Learning through Active Learning Based Interactive Conceptual Instructions (ALBICI) to Improve Critical Thinking Ability"
"184","CADOES: An interactive machine-learning approach for sex estimation with the pelvis"
"185","The effects of interaction types on learning outcomes in a blog-based interactive learning environment"
"186","Task complexity interacts with state-space uncertainty in the arbitration between model-based and model-free learning"
"187","Enhancing engagement during live virtual learning using interactive quizzes"
"188","IL-MCAM: An interactive learning and multi-channel attention mechanism-based weakly supervised colorectal histopathology image classification approach"
"189","Developing an Interactive Mathematics Multimedia Learning Based on Ispring Presenter in Increasing Students’ Interest in Learning Mathematics"
"190","Learning V2V interactive driving patterns at signalized intersections"
"191","Interactive Robot Learning for Multimodal Emotion Recognition"
"192","A privacy-preserving and non-interactive federated learning scheme for regression training with gradient descent"
"193","Multi-Interactive Attention Network for Fine-grained Feature Learning in CTR Prediction"
"194","Comparison of the Effect of Interactive versus Passive Virtual Reality Learning Activities in Evoking and Sustaining Conceptual Change"
"195","Examining the effects of Geogebra applets on mathematics learning using interactive mathematics textbook"
"196","Learning to Prove Theorems via Interacting with Proof Assistants."
"197","Learning clinical reasoning: how virtual patient case format and prior knowledge interact"
"198","EFFECT OF INTERACTIVE VIDEO LENGTH WITHIN E-LEARNING ENVIRONMENTS ON COGNITIVE LOAD, COGNITIVE ACHIEVEMENT AND RETENTION OF LEARNING"
"199","Effects of embedding a problem-posing-based learning guiding strategy into interactive e-books on students’ learning performance and higher order thinking tendency"
"200","Living Values Based Interactive Multimedia in Civic Education Learning"
"201","Estimating Occupancy Using Interactive Learning With a Sensor Environment: Real-Time Experiments"
"202","Just Ask: An Interactive Learning Framework for Vision and Language Navigation"
"203","Is individual practice in an immersive and interactive virtual reality application non-inferior to practicing with traditional equipment in learning systematic clinical observation? A randomized controlled trial"
"204","Incorporating an Online Interactive Video Platform to Optimize Active Learning and Improve Student Accountability through Educational Videos"
"205","Interactive Learning Tools: Animating Statics"
"206","A professional development model to facilitate teacher adoption of interactive, immersive digital games for classroom learning"
"207","Collaborative Sensing with Interactive Learning using Dynamic Intelligent Virtual Sensors"
"208","iPiDi-PUL: identifying Piwi-interacting RNA-disease associations based on positive unlabeled learning"
"209","Towards a dynamic interactive model of resilience (DIMoR) for education and learning contexts"
"210","An Interactive Serious Mobile Game for Supporting the Learning of Programming in JavaScript in the Context of Eco-Friendly City Management"
"211","A model of gameful design for learning using interactive tabletops: enactment and evaluation in the socio-emotional education classroom"
"212","Developing the interactive multimedia in physics learning"
"213","iVRNote: Design, Creation and Evaluation of an Interactive Note-Taking Interface for Study and Reflection in VR Learning Environments"
"214","Interactive Gamification Learning Media Application For Blind Children Using Android Smartphone in Indonesia"
"215","Investigating the impacts of using a mobile interactive English learning system on the learning achievements and learning perceptions of student with different backgrounds"
"216","More Attractive or More Interactive? The Effects of Multi-Leveled Emotional Design on Middle School Students’ Multimedia Learning"
"217","Altering element interactivity and variability in example‐practice sequences to enhance learning to write Chinese characters"
"218","Integration of e-learning technologies for interactive teaching and learning process: an empirical study on higher education institutes of Pakistan"
"219","An Interactive Layers Model of Self-Regulated Learning and Cognitive Load"
"220","Virtual Dissection: An Interactive Anatomy Learning Tool"
"221","Interactive Behavior Prediction for Heterogeneous Traffic Participants in the Urban Road: A Graph-Neural-Network-Based Multitask Learning Framework"
"222","Online Discussion Forum as a Tool for Interactive Learning and Communication"
"223","4D Printing Classroom in Modern Interactive Learning Environments"
"224","Implementing interactive courseware into EFL business writing: computational assessment and learning satisfaction"
"225","Interactive Lecture in the Dissection Hall: Transforming Passive Lecture into a Dynamic Learning Experience"
"226","Learning Compositional Representations of Interacting Systems with Restricted Boltzmann Machines: Comparative Study of Lattice Proteins"
"227","VRKitchen: an Interactive 3D Virtual Environment for Task-oriented Learning."
"228","Interactive learning media innovation: utilization of augmented reality and pop-up book to improve user’s learning autonomy"
"229","Learning to Prove Theorems via Interacting with Proof Assistants"
"230","Learning interacting particle systems: Diffusion parameter estimation for aggregation equations"
"231","Lifelong and Interactive Learning of Factual Knowledge in Dialogues"
"232","Sentiment Classification for Chinese Text Based on Interactive Multitask Learning"
"233","Development of Interactive Multimedia Learning Courseware to Strengthen Students’ Character"
"234","Makey Makey as an Interactive Robotic Tool for High School Students’ Learning in Multicultural Contexts"
"235","Interactive Few-Shot Learning: Limited Supervision, Better Medical Image Segmentation"
"236","Social touch interacts with infants’ learning of auditory patterns"
"237","The use of Socrative and Yammer online tools to promote interactive learning in pharmacy education"
"238","Using Interactive Learning Modules to Teach Value-Based Health Care to Health Professions Trainees Across the United States"
"239","Investigating and fostering self-regulated learning in higher education using interactive ambulatory assessment"
"240","Learning of Spatial Properties of a Large-Scale Virtual City With an Interactive Map"
"241","Utilizing Interactive Surfaces to Enhance Learning, Collaboration and Engagement: Insights from Learners’ Gaze and Speech"
"242","Making virtual learning engaging and interactive"
"243","Interactive Feedback for Learning Mathematics in a Digital Learning Environment"
"244","Interactive Learning of Assembly Processes using Digital Assistance"
"245","Learning to interact and interacting to learn: a substantive theory of clinical workplace learning for diverse cohorts"
"246","Active Learning in Undergraduate Mathematics Tutorials Via Cooperative Problem-Based Learning and Peer Assessment with Interactive Online Whiteboards"
"247","Database quality assessment for interactive learning: Application to occupancy estimation"
"248","Interactive Learning for Multimedia at Large"
"249","An Interactive Multi-Task Learning Framework for Next POI Recommendation with Uncertain Check-ins"
"250","P<scp>eax</scp>: Interactive Visual Pattern Search in Sequential Data Using Unsupervised Deep Representation Learning"
"251","ALFWorld: Aligning Text and Embodied Environments for Interactive Learning"
"252","CNN 101: Interactive Visual Learning for Convolutional Neural Networks"
"253","Developing and Implementing Cloud-Based Tutorials That Combine Bioinformatics Software, Interactive Coding, and Visualization Exercises for Distance Learning on Structural Bioinformatics"
"254","Learning Attribute-driven Disentangled Representations for Interactive Fashion Retrieval"
"255","Children’s Learning From Interactive eBooks: Simple Irrelevant Features Are Not Necessarily Worse Than Relevant Ones"
"256","The Interactive Effect of Tonic Pain and Motor Learning on Corticospinal Excitability"
"257","The Impact of Using the Interactive E-Book on Students’ Learning Outcomes"
"258","Effects of the group leadership promotion approach on students’ higher order thinking awareness and online interactive behavioral patterns in a blended learning environment"
"259","Interactive Open-Ended Object, Affordance and Grasp Learning for Robotic Manipulation"
"260","Interactive Language Learning by Question Answering"
"261","Assessment of open educational resources (OER) developed in interactive learning environments"
"262","Learning to Interactively Learn and Assist"
"263","Subjective cognitive load surveys lead to divergent results for interactive learning media"
"264","The Development of Web-Based Learning using Interactive Media for Science Learning on Levers in Human Body Topic"
"265","Creating Interactive Learning Environments through the Use of Information and Communication Technologies Applied to Learning of Social Values: An Approach from Neuro-Education"
"266","Engaging US Students in Culturally Aware Content Creation and Interactive Technology Design Through Service Learning"
"267","Learning From Science News via Interactive and Animated Data Visualizations: An Investigation Combining Eye Tracking, Online Survey, and Cued Retrospective Reporting"
"268","Interactive Multi-dimension Modulation with Dynamic Controllable Residual Learning for Image Restoration"
"269","Socio-interactive practices and personality within an EFL online learning environments"
"270","Towards online reinforced learning of assembly sequence planning with interactive guidance systems for industry 4.0 adaptive manufacturing"
"271","Using interactive semantic networks as an augmented reality element in autonomous learning"
"272","Cannabinoid polymorphisms interact with plasma endocannabinoid levels to predict fear extinction learning"
"273","Learning time-critical responses for interactive character control"
"274","Developing An Interactive Learning Network Using Tablet Pcs In Sophomore Level Engineering Courses"
"275","Improving Self-interacting Proteins Prediction Accuracy Using Protein Evolutionary Information and Weighed-Extreme Learning Machine"
"276","CyberPLAYce—A tangible, interactive learning tool fostering children’s computational thinking through storytelling"
"277","Interactive Multimedia Lectora Inspire Based on Problem Based Learning: Development in The Optical Equipment"
"278","Interactive Learning Media Using Kvisoft Flipbook Maker for Mathematics Learning"
"279","The resonant brain: How attentive conscious seeing regulates action sequences that interact with attentive cognitive learning, recognition, and prediction"
"280","Closed-Loop Shaping Linear Control System Design: An Interactive Teaching/Learning Approach [Focus on Education]"
"281","Design implications for adaptive augmented reality based interactive learning environment for improved concept comprehension in engineering paradigms"
"282","Multi-Modal Sentiment Classification With Independent and Interactive Knowledge via Semi-Supervised Learning"
"283","Individual Learning Vs. Interactive Learning: A Cognitive Diagnostic Analysis of MOOC Students’ Learning Behaviors"
"284","Effect of an interactive e-book on nursing students' electrocardiogram-related learning achievement: A quasi-experimental design"
"285","Learning Process of Agile Scrum Methodology With Lego Blocks in Interactive Academic Games: Viewpoint of Students"
"286","How Absorptive Capacity and Organisational Learning Orientation Interact to Enable Innovation Capability? An Empirical Examination"
"287","Online Interactive Multimedia Oriented to HOTS through E-Learning on Physics Material about Electrical Circuit"
"288","Impact of the Interactive e-Learning Instructions on Effectiveness of a Programming Course"
"289","ChemEscape, Polymer Chemistry: Solving Interactive Puzzles Featuring Scaffolded Learning to Promote Student Understanding of Polymers and Structure–Property Relationships"
"290","Perceived Enjoyment and Attractiveness Influence Taiwanese Elementary School Students’ Intention to Use Interactive Video Learning"
"291","Learning and reaction times in mouse touchscreen tests are differentially impacted by mutations in genes encoding postsynaptic interacting proteins <scp>SYNGAP1</scp> , <scp>NLGN3</scp> , <scp>DLGAP1</scp> , <scp>DLGAP2</scp> and <scp>SHANK2</scp>"
"292","Integration Of An Interactive Free Body Diagram Assistant With A Courseware Authoring Package And An Experimental Learning Management System"
"293","How Inclusive Interactive Learning Environments Benefit Students Without Special Needs"
"294","Promoting self-paced learning in the elementary classroom with interactive video, an online course platform and tablets"
"295","Using Situated Learning Theory to Build an Interactive Learning Environment to Foster Dental Students' Professionalism: An Ignite Project"
"296","Interactive Learning Experience-Driven Smart Communications Networks for Cognitive Load Management in Grammar Learning Context"
"297","Defining Interactive Virtual Learning in Museum Education: A Shared Perspective"
"298","A contextual learning model for developing interactive e-books to improve students’ performances of learning the Analects of Confucius"
"299","""PowPow"" interactive game in supporting English vocabulary learning for elementary students"
"300","Electronic Module Design and Development: An Interactive Learning"
"301","Learning Interactive Behaviors for Musculoskeletal Robots Using Bayesian Interaction Primitives"
"302","Interactive Multimedia Analysis in Thematic Learning: A Study of Practical Aspect"
"303","The Role of an Interactive Visual Learning Tool and Its Personalizability in Online Learning: Flow Experience"
"304","Robot target localization and interactive multi-mode motion trajectory tracking based on adaptive iterative learning"
"305","An Interactive Conflict Solver for Learning Air Traffic Conflict Resolutions"
"306","Interactive Learning of Temporal Features for Control: Shaping Policies and State Representations From Human Feedback"
"307","Toward Interactive Self-Annotation For Video Object Bounding Box: Recurrent Self-Learning And Hierarchical Annotation Based Framework"
"308","Interpersonal brain synchronization with instructor compensates for learner's sleep deprivation in interactive learning"
"309","Detecting Interactive Gene Groups for Single-Cell RNA-Seq Data Based on Co-Expression Network Analysis and Subgraph Learning"
"310","Interactive Exploration and Refinement of Facial Expression using Manifold Learning"
"311","Interactive Learning of Signal Processing Through Music: Making Fourier Analysis Concrete for Students"
"312","A novel periodic learning ontology matching model based on interactive grasshopper optimization algorithm"
"313","Adaptive instruction and learner interactivity in online learning: a randomized trial"
"314","Learning Hierarchical Symbolic Representations to Support Interactive Task Learning and Knowledge Transfer"
"315","Interactive Learning for Identifying Relevant Tweets to Support Real-time Situational Awareness"
"316","Curriculum Based Interactive Exhibition Design and Family's Learning Experiences: A Case Study of the Children's Art Museum in Taipei"
"317","Problem-Based Learning Approach with Supported Interactive Multimedia in Physics Course: Its Effects on Critical Thinking Disposition"
"318","Interactive visual labelling versus active learning: an experimental comparison"
"319","The Human Muscular Arm Avatar as an Interactive Visualization Tool in Learning Anatomy: Medical Students’ Perspectives"
"320","Edmodo-Based Interactive Teaching Materials as an Alternative Media for Science Learning to Improve Critical Thinking Skills of Junior High School Students"
"321","Interactive Task Learning from GUI-Grounded Natural Language Instructions and Demonstrations"
"322","Immersive Virtual Reality-Based Cardiopulmonary Resuscitation Interactive Learning Support System"
"323","Press, swipe and read: Do interactive features facilitate engagement and learning with <scp>e‐Books</scp> ?"
"324","Interactive Multi-Dimension Modulation with Dynamic Controllable
  Residual Learning for Image Restoration"
"325","Design, development and evaluation of open interactive learning objects for secondary school physical education"
"326","Enriching TPACK in mathematics education: using digital interactive notebooks in synchronous online learning environments"
"327","Interactive Learning for Nurses Through Gamification"
"328","L2B: Learning to Balance the Safety-Efficiency Trade-off in Interactive Crowd-aware Robot Navigation"
"329","Improving the learning of engineering students with interactive teaching applications"
"330","Learning Acoustic Scattering Fields for Dynamic Interactive Sound Propagation"
"331","Facilitating critical thinking in decision making-based professional training: An online interactive peer-review approach in a flipped learning context"
"332","Impact of remote experimentation, interactivity and platform effectiveness on laboratory learning outcomes"
"333","Effects of a learning analytics‐based real‐time feedback approach on knowledge elaboration, knowledge convergence, interactive relationships and group performance in CSCL"
"334","Multi-Classifier Interactive Learning for Ambiguous Speech Emotion Recognition"
"335","Students' evaluation and learning experience on the utilization of Digital Interactive Math Comics (DIMaC) mobile app"
"336","Using Java To Develop Interactive Learning Material For The World Wide Web"
"337","Scaffolding Effective Problem Solving Strategies in Interactive Learning Environments"
"338","Interactive Simulations Coupled with Real-time Formative Assessment to Enhance Student Learning"
"339","The role of the design of interactive diagrams in teaching–learning the indefinite integral concept"
"340","Interactive Trial and Error Learning Method for Distributed Channel Bonding: Model, Prototype Implementation, and Evaluation"
"341","The Effect of Interactive Learning Media on Students' Science Learning Outcomes"
"342","Interactive health-hygiene education for early years: the creation and evaluation of learning resources to improve understanding of handwashing practice"
"343","Correct-and-Memorize: Learning to Translate from Interactive Revisions"
